Recipe,Url,Ingredients,Ratings,Serving,Prepration_Time,Calories,Protein,Carbohydrate,Fat
Cajun Gumbo With Chicken and Andouille Sausage Recipe,https://www.seriouseats.com/cajun-gumbo-with-chicken-and-andouille-recipe,"1 cup plus 1 tablespoon (250ml) canola or vegetable oil, divided,6 boneless, skinless chicken thighs (about 2 1/4 pounds; 1kg total),Kosher salt,1 1/2 pounds Cajun-style andouille sausage (680g; about 8 links), sliced crosswise 1/2 inch thick,1 cup all-purpose flour(4 1/2 ounces; 130g),2 large yellow onions (about 12 ounces; 340g each), cut into 1/4-inch dice,2 green bell peppers (about 7 ounces; 200g each), cut into 1/4-inch dice,4 large celery ribs (9 ounces; 260g total), cut into 1/4-inch dice,8 medium cloves garlic, minced,1/4 teaspoon cayenne pepper,Freshly ground black pepper,1 1/2 quarts (1.4L) homemade brown or white chicken stock or store-bought low-sodium chicken stock,2 dried bay leaves,2 large sprigs fresh thyme,1 pound (450g) fresh okra, caps trimmed, pods cut crosswise 1/2 inch thick (optional; see notes),1/2 teaspoon filé powder, plus more as needed for serving (optional; see notes),Warm rice, thinly sliced scallions, and hot sauce, for serving",17,10,4 hrs,812,41,50,51
Nasi Goreng (Indonesian Fried Rice) Recipe,https://www.seriouseats.com/nasi-goreng-recipe,"2 small shallots (2 ounces; 55g), roughly chopped,3 medium cloves garlic,1 large fresh green chile, such as Fresno or Holland, stemmed and seeded, or 1 teaspoon sambal oelek, such as Huy Fong (see note),1/2 teaspoon terasi (Indonesian shrimp paste), optional (see note),4 cups cold cooked jasmine rice (21 ounces; 600g) or other medium- to long-grain rice (see note),2 tablespoons (30ml) neutral oil, such as canola or sunflower oil,2 tablespoons (30ml) kecap manis (see note), plus more for drizzling,2 teaspoons (10ml) soy sauce,Kosher salt,Ground white pepper,2 large fried eggs, cooked sunny-side up or over easy,Sliced cucumbers (optional),Sliced tomatoes (optional),Fried shallots (optional)",0,2,20 mins,630,17,105,15
Homemade Chicken Nuggets With Sweet 'n' Sour Sauce Recipe,https://www.seriouseats.com/copycat-chicken-nuggets-with-sweet-n-sour-sauce,"1 pound (450g) boneless, skinless chicken thighs, cut into 1-inch pieces,1 teaspoon (5g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,1 teaspoon (3g) chicken-flavored broth powder, such as Orrington Farms,1/2 teaspoon finely ground white pepper,1/2 teaspoon garlic powder,1/2 teaspoon onion powder,Neutral oil such as canola or nonstick cooking spray, for greasing,1/2 cup (160g) apricot jam or preserves,2 tablespoons (40g) corn syrup,2 tablespoons (30ml) water,5 teaspoons (25ml) distilled white vinegar,1 1/2 teaspoons (4g) cornstarch,1 teaspoon (3g) chicken-flavored broth powder, such as Orrington Farms,1/2 teaspoon (3ml) soy sauce,1/2 teaspoon (3g) yellow mustard,1/8 teaspoon cayenne pepper,1/8 teaspoon garlic powder,1/8 teaspoon finely ground white pepper,1/2 cup (2.5 ounces; 70g) all-purpose flour,2 tablespoons (16g) cornstarch,1 teaspoon (3g) chicken-flavored broth powder, such as Orrington Farms,1/2 teaspoon (1.5g) baking powder,1/2 teaspoon finely ground white pepper,3/4 cup (180ml) water,4 cups (950ml) vegetable oil, for frying",13,5,2 hrs,432,23,35,24
Home-Style Tamagoyaki (Japanese Rolled Omelette) Recipe,https://www.seriouseats.com/home-style-tamagoyaki-japanese-rolled-omelette,"2 large eggs,1 1/2 tablespoons (20ml) homemade dashi or hondashi, or more or less as desired (see note),1 teaspoon (5ml) usukuchi (light) soy sauce, plus more for drizzling,1 teaspoon (5ml) mirin,An oil-soaked paper towel, folded up into a small bundle, for greasing the pan,Grated daikon radish, for serving",4,4,15 mins,53,3,1,4
Whipped Feta Dip Recipe,https://www.seriouseats.com/whipped-feta-dip,"8 ounces (225g) feta cheese,3/4 cup Greek yogurt (6 ounces; 170g),1 medium clove garlic, minced,1 tablespoon (15ml) extra-virgin olive oil,Kosher salt,Freshly ground black pepper (optional)",6,16,5 mins,51,3,1,4
Kimbap (Korean Seaweed Rice Rolls) Recipe,https://www.seriouseats.com/gimbap-korean-seaweed-rice-rolls,"1 large (12-ounce; 340g) cucumber,Sea or kosher salt,3 large eggs,Vegetable oil, for greasing the pan,6 long strips ham for kimbap (each about 1/4 inch or less thick),1 medium (8-ounce; 240g) carrot, julienned,3 sheets flat odeng fishcake, cut lengthwise into 1/4-inch strips,2 teaspoons (10ml) grain syrup or oligosaccharide syrup (sold as “oligodang” at the Korean markets),1 teaspoon (5ml) soy sauce,1 whole danmuji (pickled radish) or 6 pre-cut long danmuji sticks for kimbap,6 long pieces Korean braised burdock root for kimbap,3 long strips of artificial crab meat (surimi in Japanese), cut in half lengthwise for a total of 6,3 cups cooked short-grain (sushi) rice, hot (see note),1 1/2 tablespoons (22ml) sesame oil, plus more for brushing,1 1/2 tablespoons crushed roasted sesame seeds,6 square sheets gim (sold as nori in Japanese) for gimbap or sushi",0,8,55 mins,439,32,43,16
Yam Khai Dao (Thai Fried Egg Salad) Recipe,https://www.seriouseats.com/yam-khai-do-thai-fried-egg-salad,"3 tablespoons (45ml) fresh lime juice from 2 limes,2 tablespoons (30ml) fish sauce,2 teaspoons (15g) palm sugar, softened (see notes),1 small shallot (15g), thinly sliced (see notes),1 medium garlic clove (5g), thinly sliced,1 stalk lemongrass, bottom 4 to 5 inches only, outer leaves discarded, tender core thinly sliced into rounds (about 10g sliced lemongrass),2 to 4 fresh Thai chiles (2 to 4g total), stemmed and thinly sliced into rounds (see notes),3 sprigs cilantro including stems (5g), cut into 1/2-inch pieces, plus extra leaves for garnish,1 scallion, green part only, sliced into 1/8-inch-thick rings (about 5g),2 large eggs,5 tablespoons (75ml) vegetable oil (see notes),Cooked jasmine rice",0,2,10 mins,328,10,38,15
Yam Woon Sen (Thai Glass Noodle Salad With Shrimp),https://www.seriouseats.com/yam-woon-sen-glass-noodle-salad-5206676,,0,4,20 mins,0,0,0,0
Tam Khao Pod Kai Kem (Thai Corn Salad With Salted Duck Egg),https://www.seriouseats.com/tam-khao-pod-kai-kem-corn-salad-with-salted-duck-egg-5205245,,0,4,25 mins,0,0,0,0
Crispy Duck Confit With Mixed Bitter Greens Salad Recipe,https://www.seriouseats.com/crispy-duck-confit-with-mixed-bitter-greens-salad,"4 legs traditional or sous vide duck confit, brought to room temperature and gently removed from fat,1 teaspoon (5ml) duck fat from duck confit,1 pound (450g) mixed leafy bitter greens, washed and dried (see note),Simple vinaigrette, for dressing the salad,Kosher salt and freshly ground black pepper",0,4,20 mins,510,27,9,42
Stir-Fried Anchovy Banchan (Myeolchi Bokkeum) Recipe,https://www.seriouseats.com/stir-fried-anchovy-banchan-myeolchi-bokkeum,"1 tablespoon (8g) gochugaru (Korean chile flakes) (see note),3 tablespoons (45ml) water,1 teaspoon (5ml) soy sauce,1 teaspoon (5ml) fish sauce,2 tablespoons (30g) gochujang (Korean chile paste) (see note),1 medium garlic clove, finely grated,2 tablespoons (30ml) vegetable oil,1 cup (50g) Korean dried baby anchovies (see note),2 tablespoons (30g) sugar,1 teaspoon (5ml) toasted sesame oil,1 tablespoon (10g) sesame seeds",0,3,10 mins,241,12,21,13
Awendaw Soufflé (Grits Soufflé) Recipe,https://www.seriouseats.com/awendaw-souffle-grits-souffle,"Softened unsalted butter or nonstick cooking spray, for greasing baking vessel(s),2 tablespoons (18g) fine cornmeal, plus more for dusting ramekins,5 whites plus 3 yolks from 5 large eggs, separated,One recipe smooth and creamy grits (about 1 pound; 450g cooked grits), slightly cooled but still warm and smooth,3/4 cup grated mild or medium Cheddar cheese (2 1/4 ounces; 65g),1 tablespoon finely sliced chives,1 teaspoon Diamond Crystal kosher salt (4g); for table salt use half as much by volume or the same weight",0,4,90 mins,239,10,21,13
Air-Fryer Brussels Sprouts With Preserved Lemon–Caesar Dressing,https://www.seriouseats.com/air-fryer-brussels-sprouts-with-preserved-lemon-caesar-dressing-5213458,,0,6,45 mins,0,0,0,0
Labaniyeh bil Ruz (Garlicky Yogurt and Rice Porridge) Recipe,https://www.seriouseats.com/labaniyeh-bil-ruz-5180234,"1 pound (450g) full-fat plain or Greek yogurt,1 teaspoon cornstarch,Kosher or sea salt,1 tablespoon (15ml) extra-virgin olive oil,4 cloves garlic, minced,1 teaspoon (5ml) fresh lemon juice (optional),2 cups (about 11 ounces; 310g) cooked plain medium- or short-grain white rice,1/4 cup (1 ounce; 25g) toasted or fried pine nuts or slivered almonds, for garnish (optional),Crushed dried mint, for garnish (optional)",0,4,30 mins,247,12,28,9
Paris–Brest (Pâte à Choux With Praline Crème Mousseline) Recipe,https://www.seriouseats.com/paris-brest-pate-a-choux-with-praline-creme-mousseline,"1 1/2 ounces (45ml) water,2 1/2 ounces (6 tablespoons; 70g) sugar,2 ounces (about 3 tablespoons; 60g) light corn syrup,2 ounces (heaping 1/3 cup; 60g) toasted blanched hazelnuts (see note),2 ounces (1/2 cup; 60g) toasted sliced almonds,1/4 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume,1/4 teaspoon baking soda,1/2 recipe Choux Pastry (made with a combination of milk and water, and the optional sugar), transferred to a pastry bag fitted with a 1/2-inch round or star tip (see note),1 large egg whisked with 1 tablespoon water, for egg wash,Raw sliced almonds, for decorating,8 ounces (2 sticks; 225g) unsalted butter, softened to about 68°F (20°C),One recipe vanilla pastry cream, at room temperature, about 68°F (20°C),Powdered sugar, for dusting",0,8,2 hrs 5 mins,640,15,42,48
Glossy Fudge Brownies Recipe | BraveTart,https://www.seriouseats.com/bravetart-glossy-fudge-brownies,"12 ounces unsalted butter (about 3 sticks; 340g),6 ounces finely chopped dark chocolate, about 72% (about 1 cup; 170g),16 ounces granulated sugar (about 2 1/4 cups; 450g),2 ounces light brown sugar (about 1/4 cup, packed; 55g),1 3/4 teaspoons (4g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,6 large eggs, straight from the fridge (about 10 1/2 ounces; 295g),1/2 ounce vanilla extract (about 1 tablespoon; 15g),1 teaspoon instant espresso powder, such as Medaglia d’Oro (optional),4 1/2 ounces all-purpose flour, such as Gold Medal (about 1 cup, spooned; 125g),4 ounces Dutch-process cocoa powder, such as Cacao Barry Extra Brute (about 1 1/3 cups, spooned; 115g)",56,24,115 mins,284,4,32,16
Basque Cheesecake Recipe,https://www.seriouseats.com/basque-cheesecake,"32 ounces (900g) full-fat cream cheese, such as Philadelphia, brought to about 70°F (21°C),9 1/2 ounces sugar (about 1 1/3 cups; 270g), plus 1 tablespoon (15g), divided,5 large eggs (275g),2 yolks (30g) from 2 large eggs,8 ounces heavy cream (about 1 cup; 230g),2 tablespoons (20g) all-purpose flour,2 teaspoons vanilla extract (10g; 10ml),1 teaspoon (3g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,Finely grated zest of 1 lemon (about 1 teaspoon; 5g)",5,0,5 hrs 40 mins,5648,104,361,430
Milk Creams (Indian Cashew Sweets) Recipe,https://www.seriouseats.com/milk-creams,"One 14-ounce (396g) can sweetened condensed milk,3 1/2 ounces (100g) sifted, finely ground raw cashews (about 3/4 cup plus 2 tablespoons),1 tablespoon (14g) unsalted butter or ghee, plus extra for greasing, kneading and shaping the milk creams,1 teaspoon (5ml) vanilla extract or almond extract",0,40,12 hrs 30 mins,49,1,6,2
"Mango Shandy With Chile, Ginger, and Lime Recipe",https://www.seriouseats.com/mango-shandy,"2 cups (13 oz; 370g) cubed sweet, ripe mango, from 2 large or 4 medium mangoes (see note),One 1/4-inch piece (0.2 ounce; 4g) fresh ginger, peeled and sliced,1/2 small green jalapeño (0.3 oz; 8g), stemmed (see note),1/2 cup (120ml) cold water,Two 12-ounce (355ml) cans/bottles lager (see note),Two 12-ounce (355ml) cans/ bottles lemon-lime soda (see note),Freshly squeezed lime juice, to taste",0,8,5 mins,107,1,21,0
"Unusual Negroni (Aperol, Lillet, and Gin Cocktail) Recipe",https://www.seriouseats.com/unusual-negroni-cocktail-aperol-lillet-hendricks-recipe,"1 ounce (30ml) Aperol,1 ounce (30ml) Lillet Blanc,1 1/4 ounces (37ml) Hendrick's Gin,Small grapefruit slice or grapefruit twist, for garnish",0,1,5 mins,659,8,131,2
Japanese-Style Iced Coffee Recipe,https://www.seriouseats.com/japanese-style-iced-coffee,"8 ounces (225g) ice,1 ounce (30g) medium-coarse ground coffee (about the size of Diamond Crystal kosher salt),8 ounces (225g) near-boiling water (roughly 200°F/93°C)",6,2,5 mins,50,2,11,0
The Best Frozen Daiquiri Recipe,https://www.seriouseats.com/the-best-frozen-daiquiri-recipe,"2 ounces (60ml) aged rum,3/4 ounce (20ml) fresh juice from 1 lime,3/4 to 1 ounce (20-30ml) 1:1 turbinado simple syrup (see note),Lime wheel and straw, for garnish (optional)",0,1,8 hrs 5 mins,171,0,11,0
Ebi no Chiri-Sōsu (Japanese Shrimp in Chile Sauce) Recipe,https://www.seriouseats.com/ebichiri-japanese-shrimp-chile-sauce-recipe-5218073,,0,4,20 mins,0,0,0,0
Nam Prik Pao (Thai Chile Jam),https://www.seriouseats.com/nam-prik-pao-thai-chile-jam-5208927,,0,40,40 mins,0,0,0,0
Microwave-Rendered Chicken Fat,https://www.seriouseats.com/microwave-rendered-chicken-fat-5202412,"1/2 to 4 1/2 ounces(25-125g)chicken skin, cut into 1-inch strips (see note)",0,8,40 mins,72,3,0,6
Traditional Toum (Lebanese Garlic Sauce) Recipe,https://www.seriouseats.com/traditional-toum,"1 cup garlic cloves (4 1/2 ounces; 130g),2 teaspoons Diamond Crystal kosher salt (for table salt, use 1 teaspoon),1/4 cup (60g) fresh lemon juice from about 2 lemons, divided,1/4 cup (60g) ice water, divided,3 cups (600g) neutral oil, such as grapeseed or canola oil, divided",18,32,20 mins,172,0,1,19
Crispy Pork Shoulder Hash With Charred Asparagus and Serrano Chile Recipe,https://www.seriouseats.com/crispy-pork-shoulder-asparagus-hash,"1 1/2 pounds (675g) Yukon gold or russet potatoes, cut into 3/4-inch dice (see note),2 tablespoons (30ml) distilled white vinegar,Kosher salt and freshly ground black pepper,10 ounces (285g) asparagus (about 1 bunch), woody ends trimmed,1 fresh serrano chile (about 10g),1/4 cup (60ml) rendered pork fat from roast pork shoulder or vegetable oil, divided (see note),12 ounces (340g) roast pork shoulder, pulled into 2-inch long pieces (see note),1/2 teaspoon ground coriander,1/4 teaspoon chile powder,1/4 teaspoon ground cumin,Reserved drippings from roast pork shoulder (optional),Thinly sliced scallions and/or roughly chopped fresh cilantro leaves and tender stems,Fried eggs (optional),Warmed corn or flour tortillas (optional),Lime wedges,Homemade or store-bought salsa verde (optional)",0,4,50 mins,557,26,43,32
"One-Bowl, Overnight Cinnamon Rolls Recipe | BraveTart",https://www.seriouseats.com/bravetart-homemade-cinnamon-rolls-recipe,"4 ounces plain, full-fat cream cheese (8 tablespoons; 115g), softened to about 70°F (21°C),2 teaspoons (10ml) vanilla extract,5 ounces powdered sugar (about 1 1/4 cups; 141g),4 ounces unsalted butter (8 tablespoons; 115g), creamy and soft, about 70°F (21°C),6 ounces light brown sugar (3/4 cup, gently packed; 170g),1/2 ounce ground cinnamon (about 2 tablespoons; 15g),1/2 teaspoon (1g) grated nutmeg,1/4 teaspoon (1g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,4 ounces toasted pecan halves, roughly chopped (a shy cup; 115g), or more to taste,16 ounces all-purpose flour (about 3 1/2 cups, spooned; 450g), such as Gold Medal, plus more for rolling,3 1/2 ounces granulated sugar (about 1/2 cup; 100g),2 teaspoons (8g) instant yeast, such as SAF (not rapid-rise; see note),1 3/4 teaspoons (7g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,1/4 teaspoon (1g) baking soda,4 ounces unsalted butter (8 tablespoons; 115g),4 ounces milk (8 tablespoons; 115g), any percentage will do,8 ounces plain, unsweetened Greek yogurt (about 1 cup; 225g), any percentage will do",35,12,15 hrs 30 mins,527,8,67,26
Home-Style Tamagoyaki (Japanese Rolled Omelette) Recipe,https://www.seriouseats.com/home-style-tamagoyaki-japanese-rolled-omelette,"2 large eggs,1 1/2 tablespoons (20ml) homemade dashi or hondashi, or more or less as desired (see note),1 teaspoon (5ml) usukuchi (light) soy sauce, plus more for drizzling,1 teaspoon (5ml) mirin,An oil-soaked paper towel, folded up into a small bundle, for greasing the pan,Grated daikon radish, for serving",4,4,15 mins,53,3,1,4
"Breakfast Burrito With Scrambled Egg, Chorizo, and Refried Beans Recipe",https://www.seriouseats.com/breakfast-burrito-with-scrambled-egg-chorizo-and-refried-beans,"4 large eggs,Kosher salt and freshly ground black pepper,1 medium (4-ounce; 115g) Poblano pepper,8 ounces (225g) fresh Mexican chorizo (about 2 large links), casings removed,2 ounces (55g) shredded Pepper Jack cheese,2 large (10-inch) flour tortillas, warmed through on a dry griddle or cast iron pan,1/4 cup (2 ounces; 55g) warm refried beans, divided,2 tablespoons (1 ounce; 30g) crema or sour cream, divided,1/4 cup (2 ounces; 55g) guacamole, divided,Hot sauce of your choice (optional)",0,2,50 mins,1835,75,176,91
Savory Cheese Soufflé Recipe,https://www.seriouseats.com/savory-cheese-souffle,"3 tablespoons (45g) unsalted butter, plus more for greasing the dish,2 tablespoons grated Parmigiano-Reggiano or Grana Padano cheese, for dusting the dish,3 1/2 tablespoons (1 ounce; 28g) all-purpose flour (see note),1 cup (235ml) whole milk,Kosher salt and freshly ground black pepper,1 teaspoon (5ml) Dijon mustard (optional; see note),1 pinch cayenne pepper or two dashes hot sauce (optional; see note),4 large egg yolks,5 large cold egg whites,1/2 teaspoon cream of tartar (optional; see note),3 ounces (85g) freshly grated Gruyère or other semi-firm cheese, such as cheddar",12,2,60 mins,718,43,20,51
Cold Brew Iced Coffee Recipe,https://www.seriouseats.com/cold-brew-iced-coffee,"170g (6 ounces) whole coffee beans (about 1 1/2 cups whole beans), coarsely ground,1,020g (36 ounces; about 4 1/4 cups) cold water",6,4,8 hrs,57,4,10,0
Japanese-Style Iced Coffee Recipe,https://www.seriouseats.com/japanese-style-iced-coffee,"8 ounces (225g) ice,1 ounce (30g) medium-coarse ground coffee (about the size of Diamond Crystal kosher salt),8 ounces (225g) near-boiling water (roughly 200°F/93°C)",6,2,5 mins,50,2,11,0
"Western Omelette With Bell Pepper, Onion, Ham, and Cheese Recipe",https://www.seriouseats.com/western-omelette-with-bell-pepper-onion-ham-and-cheese,"5 large eggs,Kosher salt and freshly ground black or white pepper,2 ounces (55g) grated cheddar, pepper Jack, or Swiss cheese,2 tablespoons (30g) unsalted butter, divided,Half of one large green, red, or yellow bell pepper (4 oz; 110g), stemmed, seeded, and cut into 1/2-inch dice,One quarter of one medium yellow onion (2 oz; 55g), cut into 1/2-inch dice,Pinch smoked paprika,2 1/2 ounces (70g) ham (about 3 slices), cut into 1/2-inch pieces",0,2,25 mins,477,31,8,35
Tamago Kake Gohan (Japanese-Style Rice With Egg) Recipe,https://www.seriouseats.com/tamago-kake-gohan-egg-rice-tkg-recipe-breakfast,"1 cup hot cooked white rice (about 12 ounces cooked rice; 340g),1 large egg (plus 1 optional egg yolk),1/2 teaspoon soy sauce, plus more to taste,1/2 teaspoon mirin (optional),Pinch kosher salt, plus more to taste,Pinch MSG powder, such as Aji-no-moto or Accent (optional),Pinch Hondashi (optional; see note),Furikake to taste (optional; see note),Thinly sliced or torn nori to taste (optional)",10,1,3 mins,515,16,96,6
Quick and Easy Drop Biscuits Recipe,https://www.seriouseats.com/quick-easy-drop-biscuits-recipe,"1 1/2 cups all-purpose flour (6.6 ounces; 190g),2 teaspoons baking powder,1 teaspoon (4g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,4 ounces cold unsalted butter (1 stick; 115g), cut into 1/4-inch cubes and refrigerated,3/4 cup (180ml) whole milk",15,20,25 mins,81,1,8,5
Perfect Steamed Boiled Eggs Recipe,https://www.seriouseats.com/steamed-hard-boiled-eggs-recipe,"1 tray of ice cubes (optional; for serving cold),6 large eggs",26,6,35 mins,72,6,0,5
Fluffy Scrambled Eggs Recipe,https://www.seriouseats.com/fluffy-scrambled-eggs-recipe,"3 large eggs,1/8 teaspoon kosher salt, see note,2 tablespoons (1 ounce; 30ml) milk (optional),1/2 tablespoon (1/4 ounce; 8g) unsalted butter,Freshly ground black or white pepper",0,1,6 mins,266,19,1,20
British-Style Beans on Toast Recipe,https://www.seriouseats.com/beans-on-toast-recipe,"1 pound (454g) dry navy beans,1 gallon (3.8L) water,1/4 cup (34g) kosher salt, plus more to taste,2 tablespoons (30ml) vegetable oil,1 medium onion, finely chopped (about 1 cup / 160g),2 large cloves garlic, finely chopped (about 1 tablespoon / 9g),6 cups (1.4L) homemade or store-bought low-sodium chicken broth,2 1/2 cups (590ml) tomato purée,3 tablespoons (42g) brown sugar,3 tablespoons (45ml) molasses,3 tablespoons (45ml) Worcestershire sauce,3 tablespoons (45ml) apple cider vinegar,2 tablespoons (33g) tomato paste,3 bay leaves,Freshly ground black pepper,8 slices sourdough bread,Chopped fresh parsley to garnish, optional",5,4,17 hrs 25 mins,1036,50,185,14
"Menemen (Turkish-Style Scrambled Eggs With Tomatoes, Onions, and Chilies) Recipe",https://www.seriouseats.com/menemen-turkish-style-scrambled-eggs-tomatoes-chilies-recipe,"3 tablespoons (45ml) extra-virgin olive oil,1/2 teaspoon (1g) hot paprika (see note),1/4 teaspoon dried oregano (optional),1 small onion, finely diced (about 3/4 cup; 39g),3/4 cup (90g) finely diced shishito, Padrón, or Chinese green long pepper,Kosher salt and freshly ground black pepper,1/2 cup (100g) chopped peeled ripe fresh tomatoes or drained canned tomatoes,4 large eggs (200g), lightly beaten,Minced fresh chives, for garnish (optional; see note)",4,2,25 mins,355,14,8,30
Quick Immersion Blender Hollandaise Recipe,https://www.seriouseats.com/foolproof-2-minute-hollandaise-recipe,"1 egg yolk (about 35g),1 teaspoon (5ml) water,1 teaspoon (5ml) lemon juice from 1 lemon,Kosher salt,1 stick unsalted butter (8 tablespoons; 113g),Pinch cayenne pepper or hot sauce (if desired)",47,12,10 mins,78,1,0,8
Classic Over-Easy Fried Eggs Recipe,https://www.seriouseats.com/classic-over-easy-fried-eggs-recipe,"1 tablespoon (15g) unsalted butter,2 large eggs,Kosher salt and freshly ground black pepper (optional)",0,2,5 mins,122,6,0,11
Classic French Omelette Recipe,https://www.seriouseats.com/classic-french-omelette-recipe,"3 large eggs,Kosher salt and freshly ground white or black pepper,1 tablespoon (15g) unsalted butter",0,1,10 mins,322,19,1,26
Classic Banana Bread Recipe,https://www.seriouseats.com/classic-banana-bread-recipe,"4 medium bananas (20 ounces; 565g), ripe but not fully black,4 ounces plain Greek yogurt (1/2 cup; 115g), preferably nonfat,2 large eggs, straight from the fridge,1/2 ounce vanilla extract (1 tablespoon; 15g),10 ounces all-purpose flour (2 cups; 280g),5 1/4 ounces sugar (3/4 cup; 150g), preferably toasted,3 ounces oat flour (3/4 cup; 85g), such as Bob's Red Mill (see note),1 teaspoon baking powder,1 teaspoon baking soda,3/4 teaspoon (3g) Diamond Crystal kosher salt; for table salt, use half as much by volume or use the same weight,3/4 teaspoon ground cinnamon,1/2 teaspoon ground cloves,1/4 teaspoon ground or grated nutmeg,5 1/4 ounces coconut oil, virgin or refined (3/4 cup; 150g), creamy but firm, about 70°F (21°C),6 ounces toasted pecan or other nut pieces (1 cup; 170g) (see note),Banana Whipped Cream (optional)",29,12,55 mins,436,7,49,24
Your Guide to a Full English Breakfast (Fry-Up),https://www.seriouseats.com/guide-to-a-fry-up-full-british-breakfast-what-is-in-ingredients,,0,0,0,0,0,0,0
