Recipe,Url,Ingredients,Ratings,Serving,Prepration_Time,Calories,Protein,Carbohydrate,Fat
"Spring Strata With Asparagus, Leeks, Sausage, and Cheese Recipe",https://www.seriouseats.com/strata-asparagus-mushroom-leek-sausage-recipe,"1 pound white bread, cut into 1 1/2-inch cubes (1 loaf; 450g),5 tablespoons (75ml) vegetable oil, divided,1 large leek, white and pale green parts only, diced (about 8 ounces; 225g),2 medium cloves garlic, thinly sliced,1 pound (450g) asparagus, woody ends trimmed and asparagus cut into 1-inch lengths,Kosher salt and freshly ground black pepper,1/2 pound (225g) cremini mushrooms, trimmed and sliced,1 pound (450g) Italian sausage, casings discarded,8 ounces Gruyère cheese, 6 ounces (170g) diced and 2 ounces (55g) grated, divided (225g total),2 tablespoons (about 4g) minced flat-leaf parsley,1 teaspoon (about 1g) minced fresh thyme leaves,10 large eggs,2 1/2 cups (600ml) milk",0,8,2 hrs 30 mins,693,37,41,43
Blackberry Thyme Galette Recipe,https://www.seriouseats.com/blackberry-thyme-galette-recipe,,0,8,2 hrs 45 mins,0,0,0,0
Baking with Dorie: Galette des Rois Recipe,https://www.seriouseats.com/baking-with-dorie-galette-des-rois-recipe,,0,0,3 hrs 30 mins,0,0,0,0
Chicken and Leek Pasties Recipe | Cook the Book,https://www.seriouseats.com/chicken-and-leek-pasties-recipe,"2 cups all-purpose flour,A pinch sea salt,2/3 cup chilled unsalted butter, cut into small cubes,2 tablespoons unsalted butter,2 to 3 leeks (about 1 pound), trimmed and finely sliced,1 teaspoon coarsely chopped fresh thyme leaves,2/3 cup heavy cream,1 teaspoon English mustard,Sea salt and freshly ground black pepper,About 12 ounces boned chicken thigh and breast meat (or leftover cooked chicken), cut into thick slices,1 tablespoon canola or olive oil (if using fresh chicken),1 large egg, lightly beaten with 1 teaspoon milk, for glazing",0,4,90 mins,928,31,58,64
"Spring Salad of Asparagus, Ramps, Snap Peas, and Peas With Poached Egg and Lemon Zest Vinaigrette Recipe",https://www.seriouseats.com/spring-salad-of-asparagus,"6 tablespoons extra-virgin olive oil,2 tablespoons juice from 1 or 2 lemons,2 teaspoons grated zest from 1 lemon, plus a few extra thin threads of zest for garnish,2 tablespoons finely minced fresh parsley leaves,1 small shallot, minced (about 1 tablespoon),Kosher salt and freshly ground black pepper,1 cup fresh shelled English peas or 1 cup defrosted frozen peas,2 cups fresh sugar snap peas, strings removed, ends trimmed, cut into 1/2-inch pieces on the bias,1 pound asparagus, stalks trimmed, tips removed, tips and stalks reserved separately,2 to 3 tablespoons extra-virgin olive oil,4 large very fresh eggs,2 tablespoons distilled white vinegar,2 tablespoons canola or vegetable oil,8 to 12 whole ramps, ends trimmed and cleaned,2 cups tender pea or snow pea shoots, thick stalks trimmed and discarded",0,4,60 mins,480,15,21,39
Mushroom and Asparagus Risotto Recipe,https://www.seriouseats.com/mushroom-asparagus-risotto-recipe,"1 quart homemade or store-bought low-sodium chicken stock (1 liter),1 ounce (30g) dried porcini or morel mushrooms (optional),1 1/2 cups (about 300g) risotto rice, such as arborio or vialone nano,1 1/2 pounds (700g) mixed mushrooms, such as shiitake, cremini, oyster, and chanterelle, trimmed and thinly sliced,4 tablespoons (60ml) extra-virgin olive oil,4 tablespoons (50g) unsalted butter,Kosher salt and freshly ground black pepper,1 medium yellow onion, finely chopped (about 6 ounces; 170g),2 medium cloves garlic, finely minced,2 teaspoons (10ml) soy sauce,1 tablespoon (15ml) light miso paste,3/4 cup (175ml) dry white wine,1 pound trimmed asparagus, cut into 1-inch pieces (450g),1/4 cup (60ml) heavy cream (optional; see note),1 ounce (30g) finely grated Parmigiano-Reggiano cheese, plus more for serving,2 tablespoons minced fresh parsley leaves (about 8g),2 tablespoons minced fresh tarragon leaves (about 8g)",5,6,65 mins,344,11,30,19
The Most Popular Recipes of 2020,https://www.seriouseats.com/most-popular-posts,,0,0,0,0,0,0,0
Our Favorite Videos of 2020,https://www.seriouseats.com/staff-favorite-videos,,0,0,0,0,0,0,0
Our Favorite Features of 2020,https://www.seriouseats.com/our-favorite-features-of-2020,,0,0,0,0,0,0,0
What We're Doing For Our Quarantine Thanksgivings,https://www.seriouseats.com/what-were-doing-for-our-quarantine-thanksgivings,,0,0,0,0,0,0,0
Our Favorite Pasta Shapes,https://www.seriouseats.com/staff-favorite-pasta-shapes,,0,0,0,0,0,0,0
Introducing the Serious Eats X Tilit Apron,https://www.seriouseats.com/serious-eats-tilit-apron,,0,0,0,0,0,0,0
The Most Popular Kitchen Tools and Equipment,https://www.seriouseats.com/most-popular-kitchen-tools,,0,0,0,0,0,0,0
How to Order (or Cook) Thai Food for a Balanced Meal,https://www.seriouseats.com/how-to-build-a-balanced-meal-when-ordering-and-cooking-thai-food,,0,0,0,0,0,0,0
The Best Cookbooks of 2020,https://www.seriouseats.com/best-food-books-gifts,,0,0,0,0,0,0,0
Spaghetti With Canned-Clam Sauce Recipe,https://www.seriouseats.com/spaghetti-with-canned-clam-sauce,"4 tablespoons (60g) unsalted butter, cut into 4 pieces and divided,2 celery ribs (5 oz; 140g), peeled (optional) and cut into small dice,2 medium shallots (60g), minced,1/2 cup (30g) finely chopped fresh parsley leaves, divided,4 medium garlic cloves (15g), finely minced,1 fresh green Thai chile (4g), thinly sliced (optional, see note),Freshly ground black pepper,Two (8-ounce; 237ml) bottles clam juice,Two (6.5-ounce; 184g) cans chopped or minced clams, clams and liquid divided,1 lb (450g) spaghetti,1 teaspoon (5ml) soy sauce,Kosher salt,Celery leaves (pale yellow-green leaves from the celery heart), for garnish,Lemon wedges, for serving",10,4,15 mins,442,32,46,14
Our Favorite Videos of 2019,https://www.seriouseats.com/favorite-videos-2019,,0,0,0,0,0,0,0
Essential Pantry Staples for Better Pasta,https://www.seriouseats.com/pasta-pantry-staples,,0,0,0,0,0,0,0
35 Super-Rich Recipes to Ruin Your New Year's Diet,https://www.seriouseats.com/recipes-to-break-resolution,,0,0,0,0,0,0,0
Sasha's Favorite Recipes of 2019,https://www.seriouseats.com/sasha-marx-favorite-recipes,,0,0,0,0,0,0,0
33 Valentine's Day Recipes for a Romantic Dinner at Home,https://www.seriouseats.com/valentines-day-recipes,,0,0,0,0,0,0,0
Celebrate the Sides With a Korean-American Banchan Thanksgiving,https://www.seriouseats.com/korean-american-thanksgiving-menu,,0,0,0,0,0,0,0
Roasted Sweet Potato Cheesecake With Maple Walnut Caramel Sauce,https://www.seriouseats.com/roasted-sweet-potato-cheesecake-with-maple-walnut-caramel-sauce-recipe-5210171,,0,0,16 hrs 35 mins,0,0,0,0
Devil's Food Cake Recipe | BraveTart,https://www.seriouseats.com/bravetarts-devils-food-cake,"12 ounces unsalted butter (about 3 sticks; 340g),12 ounces brewed black coffee, or black tea such as Assam (about 1 1/2 cups; 340g),3 ounces Dutch-process cocoa powder, such as Cacao Barry Extra Brute (about 1 cup, spooned; 85g),6 ounces finely chopped dark chocolate, roughly 72% (about 1 1/4 cups; 170g),16 ounces light brown sugar (about 2 cups, packed; 455g),1/2 ounce vanilla extract (about 1 tablespoon; 15g),1 teaspoon (4g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,6 large eggs, straight from the fridge (about 10 1/2 ounces; 295g),3 large egg yolks, straight from the fridge (about 1 1/2 ounces; 45g),9 ounces all-purpose flour, such as Gold Medal (about 2 cups, spooned; 255g),1 tablespoon (about 13g) baking soda,1 recipe Chocolate Swiss Buttercream or 6-7 cups other frosting,5 ounces finely ground Oreo wafer crumbs (about 1 cup; 140g), store-bought or homemade (option",33,16,2 hrs 20 mins,952,8,118,50
Epic New York Cheesecake From BraveTart Recipe,https://www.seriouseats.com/epic-new-york-cheesecake-from-bravetart,"7 ounces graham cracker crumbs, store-bought or homemade, see note (about 1 3/4 cups; 200g),1 ounce unsalted butter, melted (about 2 tablespoons; 30g),Pinch of salt,32 ounces full-fat cream cheese, such as Philadelphia, brought to about 70°F/21°C (about 4 cups; 905g),8 ounces fresh goat cheese (not pre-crumbled), brought to about 70°F/21°C (about 1 cup; 225g),1/2 ounce lemon juice, freshly squeezed (about 1 tablespoon; 15g),1/2 ounce vanilla extract (about 1 tablespoon; 15g),1/4 teaspoon (1g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,1/4 teaspoon orange flower water,14 ounces plain or toasted sugar (about 2 cups; 395g),6 large eggs (about 10 1/2 ounces; 300g),6 ounces heavy cream (about 3/4 cup; 170g),16 ounces (volume will vary; 455g) fresh fruit, such as pitted and halved cherries, blueberries, sliced peaches, small strawberries, or some assortment thereof, optional,1 recipe (about 1/2 cup) complementary Fruit Syrup or jelly, for saucing the fruit, optional",31,16,14 hrs 50 mins,466,10,38,31
Pumpkin Cheesecake With Gingersnap Crust Recipe,https://www.seriouseats.com/its-the-great-pumpkin-cheesecake-recipe-halloween,"2 1/2 cups ginger snap cookie crumbs (from a 16-ounce box),6 tablespoons unsalted butter, melted and slightly cooled,1/3 cup packed light brown sugar,1/4 teaspoon salt,1/4 teaspoon ground cinnamon,1/4 teaspoon ground cloves,4 large eggs, separated and at room temperature,1/2 teaspoon salt,1 cup sugar,16 ounces cream cheese, at room temperature (see note),3 tablespoons all-purpose flour,Finely grated zest of 1 orange,1 teaspoon ground cinnamon,1/2 teaspoon ground ginger,1/4 teaspoon ground cloves,1 (15-ounce) can pumpkin purée (see note),1/2 cup sour cream,1 teaspoon vanilla extract,1 large egg white, at room temperature,1 tablespoon orange juice,1/2 teaspoon salt,1 1/2 cups walnuts,2/3 cup sugar,1/2 teaspoon ground cinnamon,1/4 teaspoon ground ginger,1/4 teaspoon ground cloves,2 tablespoons golden syrup or honey",0,12,6 hrs,635,10,74,35
White Cake With Brown Butter and Toasted Sugar Recipe,https://www.seriouseats.com/white-cake-with-brown-butter-and-toasted-sugar,"21 ounces sugar (about 3 cups; 595g),12 ounces unsalted butter (about 3 sticks; 340g),2 tablespoons baking powder,1 1/4 ounces vanilla (about 2 tablespoons plus 1 1/2 teaspoons; 35g),3/4 ounce water (about 4 1/2 teaspoons; 21g),1 tablespoon (12g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,1/4 teaspoon baking soda,4 large eggs, brought to about 65°F/18°C (about 7 ounces; 200g),20 ounces bleached cake flour, such as Swans Down, see note (about 4 1/2 cups, spooned; 565g),22 ounces milk, any percentage will do (about 2 3/4 cups; 625g), brought to about 65°F/18°C,About 6 cups of frosting, any style",6,16,5 hrs,883,6,135,36
Rose Levy Beranbaum's Gâteau Breton,https://www.seriouseats.com/rose-levy-beranbaums-gateau-breton-recipe,"1/2 cup blanched sliced almonds,3/4 cup superfine sugar, divided,1/4 teaspoon salt,2 sticks plus 2 tablespoons unsalted butter, preferably high fat (or high-quality lightly salted butter), 65° to 75°F,About 4 large egg yolks, at room temperature,1 tablespoon kirsch, dark rum, or water,1 1/4 teaspoons pure vanilla extract,2 cups (sifted into the cup and leveled off) plus 3 tablespoons bleached all-purpose flour,1 large whole egg, lightly beaten",0,12,80 mins,339,6,30,22
Caramelized Orange Cheesecake Recipe | Cook the Book,https://www.seriouseats.com/caramelized-orange-cheesecake-recipe,"1 large firm thin-skinned orange, such as Valencia,1 cup sugar,2 teaspoons fresh lemon juice,1 1/4 cups graham cracker crumbs (from about 17 squares),3 tablespoons butter, melted,3 packages (8 ounces each) cream cheese, at room temperature,3/4 cup sugar,4 large eggs, at room temperature,2 tablespoons flour,1/2 cup sour cream,1 tablespoon orange-flavored liqueur, such as Grand Marnier or Cointreau, or 2 teaspoons vanilla extract,3 tablespoons fresh orange juice",0,12,6 hrs,441,7,44,27
Chocolate Bourbon Fudge Tart,https://www.seriouseats.com/chocolate-bourbon-fudge-tart-recipe,"1 1/2 cups all-purpose flour,2 tablespoons sugar,1/2 teaspoon kosher salt,1/2 cup (1 stick) unsalted butter, cut into small cubes and very cold,3 tablespoons ice-cold water,2 ounces semisweet chocolate (preferably Valrhona), chopped,1 cup (2 sticks) unsalted butter, cut into 2-inch pieces,1/2 cup natural dark cocoa powder (preferably Valrhona),1 1/2 cups sugar,3 tablespoons Lyle’s Golden Syrup,3 tablespoons sour cream,4 extra-large eggs, at room temperature,1 extra-large egg yolk, at room temperature,1/4 cup bourbon (preferably Maker’s Mark),1 teaspoon vanilla extract,1/4 teaspoon kosher salt",0,12,3 hrs 55 mins,468,6,48,29
Ultimate Birthday Cake From 'Baked Occasions',https://www.seriouseats.com/baked-ultimate-birthday-cake-from-baked-occasions,"2 1/2 cups (315g) cake flour,3/4 cup (90g) all-purpose flour,1 tablespoon baking powder,1 teaspoon baking soda,3/4 teaspoon kosher salt,4 ounces (1 stick/115g) unsalted butter, softened, plus more for the pans,1/2 cup (100g) vegetable shortening, at room temperature,1 3/4 cups (350g) granulated sugar,2 tablespoons pure vanilla extract,1 large egg,1 cup (240ml) ice-cold water,1/2 cup (120ml) whole milk,1/2 cup (120ml) well-shaken buttermilk,1 cup (190g) rainbow sprinkles,3 large egg whites, at room temperature,1/4 teaspoon cream of tartar,1 1/2 cups (300g) granulated sugar,1/3 cup (40g) all-purpose flour,1 1/2 cups (360ml) whole milk,1/3 cup (75ml) heavy cream,12 ounces (3 sticks/345g) unsalted butter, softened but cool, cut into small pieces,1 1/2 teaspoons vanilla paste,1 teaspoon pure vanilla extract,1 to 1 1/4 cups (190 to 240g) rainbow sprinkles",5,12,4 hrs,931,7,109,53
Bibingka (Filipino Rice Cake),https://www.seriouseats.com/bibingka-filipino-rice-cake-5196489,,0,0,40 mins,0,0,0,0
Pumpkin Cake Recipe,https://www.seriouseats.com/bravetart-pumpkin-spice-layer-cake-recipe,"8 ounces unsalted butter (about 2 sticks; 225g), softened to about 70°F (21°C),14 ounces plain or toasted sugar (about 2 cups; 395g),1 tablespoon baking powder,1 tablespoon potato flour, such as Bob's Red Mill (not potato flakes or starch; see note),1 teaspoon (4g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,2 teaspoons ground ginger,2 teaspoons ground cinnamon,1/2 teaspoon ground cloves,5 ounces organic egg yolk (about 1/2 cup; 140g), from about 8 large eggs, brought to about 70°F (21°C),1/2 ounce vanilla extract (about 1 tablespoon; 15g),3 ounces milk, brought to about 70°F/21°C (about 1/3 cup; 85g), any percentage will do,12 ounces pumpkin or butternut squash purée (about 1 1/3 cups; 340g), canned or homemade,13 1/2 ounces bleached cake flour (about 3 1/3 cups, spooned; 385g), such as Swans Down,1 recipe Cream Cheese Buttercream,Ground cinnamon, to taste (optional),5 ounces toasted pecan pieces (about 1 cup; 140g), optional",4,14,3 hrs 30 mins,719,5,109,31
Triple Coconut Cake Recipe,https://www.seriouseats.com/coconut-cake-recipe,"16 ounces plain or toasted sugar (about 2 1/4 cups; 455g),4 1/2 teaspoons baking powder,2 1/4 teaspoons (9g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,4 ounces unsalted butter (8 tablespoons; 115g), soft but cool, about 60°F (16°C),4 ounces virgin coconut oil (about 2/3 cup; 115g), such as Vita Coco, creamy and soft, about 72°F (22°C),3 large eggs, brought to about 65°F (18°C),1/2 ounce vanilla extract (about 1 tablespoon; 15g); Tahitian works particularly well,12 ounces all-purpose flour (about 2 2/3 cups, spooned; 340g) (see note),2 ounces coconut flour (about 2/3 cup, spooned; 55g), such as Bob's Red Mill,18 ounces unsweetened, full-fat coconut milk (about 2 1/4 cups; 510g), well stirred, leftovers reserved for ganache,1 recipe Creamy Coconut Frosting,1 recipe Caramelized White Chocolate Ganache, made with coconut milk,7 ounces (195g) sweetened coconut flakes, lightly toasted",7,16,4 hrs,910,7,115,48
Blackberry Cake With Cream Cheese Frosting Recipe,https://www.seriouseats.com/blackberry-cake-recipe,"7 ounces fresh blackberries (about 1 1/4 cups; 200g), firm and tart (see note),4 ounces unsalted butter (about 8 tablespoons; 110g), softened to about 60°F (16°C),5 1/4 ounces sugar (about 3/4 cup; 145g),1 1/4 teaspoons baking powder, preferably not aluminum free (see note),1/4 teaspoon baking soda,1/4 teaspoon (1g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,1/8 teaspoon ground cinnamon,2 ounces egg whites (about 1/4 cup; 55g), brought to about 70°F (21°C),5 1/2 ounces bleached cake flour (about 1 1/4 cups, spooned; 155g), such as Swans Down, sifted (see note),1 batch Cream Cheese Frosting,Additional blackberries, to garnish",13,8,3 hrs,493,3,75,21
Classic Vanilla Butter Cake Recipe,https://www.seriouseats.com/classic-vanilla-butter-cake-recipe,"16 ounces plain or toasted sugar (about 2 1/4 cups; 455g),4 1/2 teaspoons baking powder,2 teaspoons (8g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,8 ounces unsalted butter (16 tablespoons; 225g), soft but cool, about 60°F (16°C),3 large eggs, brought to about 65°F (18°C),1/2 ounce vanilla extract (about 1 tablespoon; 15g),16 ounces whole milk (about 2 cups; 455g), brought to about 65°F (18°C),16 ounces all-purpose flour (about 3 1/2 cups, spooned; 455g),1 recipe Swiss buttercream",10,16,3 hrs,815,6,116,36
Fluffy and Nutty Almond Layer Cake Recipe,https://www.seriouseats.com/fluffy-and-nutty-almond-layer-cake,"11 1/4 ounces all-purpose flour (about 2 1/2 cups, spooned; 320g),6 ounces almond flour, see note (about 1 3/4 cup; 170g),15 ounces plain or  lightly toasted sugar (about 2 cups plus 1 tablespoon; 425g),4 teaspoons baking powder,2 teaspoons (8g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,8 ounces unsalted butter (16 tablespoons; 225g), soft but cool, about 60°F (16°C),3 large eggs, brought to about 65°F (18°C),1/2 ounce vanilla extract (about 1 tablespoon; 15g),1/2 ounce pure almond extract (about 1 tablespoon; 15g), more or less to taste,1/4 ounce rose water, optional (about 1 1/2 teaspoons; 7g),15 ounces whole milk (about 2 cups minus 2 tablespoons; 425g), brought to about 65°F (18°C),1 recipe Chocolate Swiss Buttercream or a double batch of American-Style Chocolate Buttercream",13,12,3 hrs,1150,10,165,54
"Brown Butter Carrot Cake From ""BraveTart"" Recipe",https://www.seriouseats.com/carrot-cake-recipe,"14 ounces pecan pieces (3 1/2 cups; 395g),2 pounds whole, unpeeled carrots (from one 2-pound bag; 910g),16 ounces unsalted butter (4 sticks; 450g),14 ounces white sugar (2 cups; 395g),8 ounces light brown sugar (1 cup, gently packed; 225g),4 teaspoons ground cinnamon,4 teaspoons ground ginger,1 tablespoon baking powder,1 3/4 teaspoons (7g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,1 teaspoon baking soda,1 teaspoon grated nutmeg,3/4 teaspoon ground cloves,1/2 ounce vanilla extract (1 tablespoon; 15g),6 large eggs, straight from the fridge,11 ounces all-purpose flour, such as Gold Medal (2 1/2 cups spooned; 310g),5 ounces whole wheat flour, not stone-ground (1 cup; 140g),1 recipe cream cheese buttercream,1 recipe twisted carrot roses, optional",16,16,3 hrs 25 mins,1064,9,132,59
Carciofi alla Romana: The Other Delicious Roman Artichoke Dish,https://www.seriouseats.com/how-to-make-carciofi-alla-romana-roman-braised-artichokes,,0,0,0,0,0,0,0
"The Genius of Crispy Deep Fried Artichokes, Roman-Jewish Style",https://www.seriouseats.com/how-to-make-roman-jewush-fried-artichokes,,0,0,0,0,0,0,0
Roman-Jewish Fried Artichokes (Carciofi alla Giudia) Recipe,https://www.seriouseats.com/roman-jewish-fried-artichokes-carciofi-alla-giudia-recipe,"3 lemons, divided,3 pounds artichokes (about 24 baby artichokes or 6 large artichokes),1 to 2 quarts of extra-virgin olive oil, canola oil, or vegetable oil, for frying,Kosher salt",0,6,45 mins,206,2,11,18
Patates Lemonates (Greek Lemon Potatoes),https://www.seriouseats.com/greek-lemon-potatoes-recipe-5220151,,0,4,60 mins,0,0,0,0
Classic Creamy Carrot Soup,https://www.seriouseats.com/classic-creamy-carrot-soup-recipe-5219000,,0,6,80 mins,0,0,0,0
"How to Clean, Trim, and Prepare Artichokes | Knife Skills",https://www.seriouseats.com/how-to-prepare-cut-trim-clean-artichokes-hearts,,0,0,0,0,0,0,0
Rabo Encendido,https://www.seriouseats.com/rabo-encendido-recipe-5219352,,0,0,3 hrs 30 mins,0,0,0,0
33 Valentine's Day Recipes for a Romantic Dinner at Home,https://www.seriouseats.com/valentines-day-recipes,,0,0,0,0,0,0,0
Thanksgiving Stuffed Roast Pumpkins Recipe,https://www.seriouseats.com/stuffed-pumpkin-vegetarian-thanksgiving-main-recipe,"4 small sugar pumpkins (1 1/2 to 2 pounds each; 675 to 900g),1 large skin-on kabocha squash (about 2 pounds; 900g), halved and seeded,Extra-virgin olive oil, for drizzling,Kosher salt and freshly ground black pepper,2 tablespoons (30ml) extra-virgin olive oil,1 pound (450g) shiitake mushrooms (or a mix of mushrooms, such as oyster, chanterelles, and beech), stemmed, cleaned, and thinly sliced (see note),Kosher salt and freshly ground black pepper,8 ounces (225g) lacinato kale (a.k.a. dinosaur, Tuscan, or black kale), tough stems removed, leaves cut into 1-inch pieces,4 tablespoons (60g) unsalted butter, cut into 4 pieces,2 medium shallots, finely minced (about 1/2 cup; 80g),1 medium garlic clove, minced,2 tablespoons chopped fresh thyme leaves,1/4 cup (60ml) sherry,1 tablespoon (15ml) sherry vinegar,2 cups (475ml) heavy cream,1 cup (240ml) whole milk,1/2 teaspoon ground cinnamon,1/2 teaspoon paprika,1/4 teaspoon ground nutmeg,1/4 teaspoon ground ginger,Pinch ground cloves,Kosher salt and freshly ground black pepper,2 tablespoons (40g) red miso paste,2 tablespoons (30ml) honey,1 tablespoon (15ml) water,10 ounces (285g) high-quality rustic bread, cut into 3/4-inch dice and toasted until dry,3/4 cup (120g) pepitas (shelled pumpkin seeds), toasted,3/4 cup (90g) pecans, toasted and roughly chopped,8 ounces (225g) shredded Gruyère cheese",10,8,2 hrs,852,26,56,63
Artichokes à la Barigoule: A Simple French Dish With a Twisted History,https://www.seriouseats.com/artichokes-a-la-barigoule-a-simple-french-dish-with-a-twisted-history,,0,0,0,0,0,0,0
